Year,Travel status,Jurisdiction,Count,Legend,Notes
2020,All,AR,1,1 to 4,
2020,All,AZ,4,1 to 4,
2020,All,CO,4,1 to 4,
2020,All,DC,2,1 to 4,
2020,All,DE,1,1 to 4,
2020,All,GU,2,1 to 4,
2020,All,IA,1,1 to 4,
2020,All,ID,1,1 to 4,
2020,All,IN,3,1 to 4,
2020,All,KS,2,1 to 4,
2020,All,KY,1,1 to 4,
2020,All,LA,3,1 to 4,
2020,All,MD,3,1 to 4,
2020,All,MI,2,1 to 4,
2020,All,MO,3,1 to 4,
2020,All,NE,3,1 to 4,
2020,All,NH,1,1 to 4,
2020,All,NJ,2,1 to 4,
2020,All,NM,1,1 to 4,
2020,All,NV,4,1 to 4,
2020,All,OH,2,1 to 4,
2020,All,OK,2,1 to 4,
2020,All,PA,4,1 to 4,
2020,All,RI,1,1 to 4,
2020,All,SC,2,1 to 4,
2020,All,SD,2,1 to 4,
2020,All,TN,1,1 to 4,
2020,All,UT,3,1 to 4,
2020,All,CT,7,5 to 49,
2020,All,HI,5,5 to 49,
2020,All,IL,18,5 to 49,
2020,All,MA,10,5 to 49,
2020,All,NC,6,5 to 49,
2020,All,NY,41,5 to 49,
2020,All,OR,8,5 to 49,
2020,All,VA,6,5 to 49,
2020,All,WA,8,5 to 49,
2020,All,WI,8,5 to 49,
2020,All,CA,86,50 to 249,
2020,All,FL,111,50 to 249,
2020,All,FM,50,50 to 249,
2020,All,PW,70,50 to 249,
2020,All,TX,62,50 to 249,
2020,All,PR,780,250+,
