Year,Travel status,Week,Reported cases
2012,All,01,89
2012,All,02,30
2012,All,03,27
2012,All,04,20
2012,All,05,20
2012,All,06,18
2012,All,07,12
2012,All,08,12
2012,All,09,26
2012,All,10,26
2012,All,11,19
2012,All,12,16
2012,All,13,13
2012,All,14,15
2012,All,15,14
2012,All,16,13
2012,All,17,22
2012,All,18,15
2012,All,19,27
2012,All,20,28
2012,All,21,38
2012,All,22,55
2012,All,23,51
2012,All,24,78
2012,All,25,63
2012,All,26,70
2012,All,27,77
2012,All,28,92
2012,All,29,83
2012,All,30,109
2012,All,31,105
2012,All,32,136
2012,All,33,136
2012,All,34,142
2012,All,35,161
2012,All,36,180
2012,All,37,182
2012,All,38,195
2012,All,39,212
2012,All,40,263
2012,All,41,281
2012,All,42,285
2012,All,43,231
2012,All,44,310
2012,All,45,379
2012,All,46,321
2012,All,47,362
2012,All,48,399
2012,All,49,366
2012,All,50,343
2012,All,51,271
2012,All,52,276
2012,All,53,0
