Year,Travel status,Week,Reported cases
2014,All,01,52
2014,All,02,55
2014,All,03,50
2014,All,04,40
2014,All,05,43
2014,All,06,22
2014,All,07,26
2014,All,08,24
2014,All,09,22
2014,All,10,22
2014,All,11,18
2014,All,12,16
2014,All,13,10
2014,All,14,19
2014,All,15,12
2014,All,16,15
2014,All,17,8
2014,All,18,10
2014,All,19,14
2014,All,20,11
2014,All,21,19
2014,All,22,18
2014,All,23,14
2014,All,24,14
2014,All,25,31
2014,All,26,26
2014,All,27,25
2014,All,28,36
2014,All,29,31
2014,All,30,28
2014,All,31,28
2014,All,32,27
2014,All,33,25
2014,All,34,26
2014,All,35,21
2014,All,36,30
2014,All,37,19
2014,All,38,16
2014,All,39,22
2014,All,40,13
2014,All,41,31
2014,All,42,31
2014,All,43,23
2014,All,44,37
2014,All,45,29
2014,All,46,31
2014,All,47,22
2014,All,48,14
2014,All,49,21
2014,All,50,9
2014,All,51,6
2014,All,52,6
2014,All,53,0
