Year,Travel status,Week,Reported cases
2015,All,01,14
2015,All,02,14
2015,All,03,14
2015,All,04,13
2015,All,05,11
2015,All,06,12
2015,All,07,5
2015,All,08,2
2015,All,09,14
2015,All,10,8
2015,All,11,8
2015,All,12,15
2015,All,13,10
2015,All,14,11
2015,All,15,6
2015,All,16,7
2015,All,17,10
2015,All,18,8
2015,All,19,6
2015,All,20,10
2015,All,21,7
2015,All,22,8
2015,All,23,5
2015,All,24,18
2015,All,25,13
2015,All,26,14
2015,All,27,14
2015,All,28,12
2015,All,29,18
2015,All,30,16
2015,All,31,27
2015,All,32,20
2015,All,33,22
2015,All,34,16
2015,All,35,23
2015,All,36,24
2015,All,37,31
2015,All,38,19
2015,All,39,15
2015,All,40,15
2015,All,41,12
2015,All,42,43
2015,All,43,33
2015,All,44,51
2015,All,45,46
2015,All,46,41
2015,All,47,40
2015,All,48,39
2015,All,49,41
2015,All,50,37
2015,All,51,34
2015,All,52,34
2015,All,53,26
