Year,Travel status,Jurisdiction,Count,Legend,Notes
2015,All,AL,3,1 to 4,
2015,All,AR,1,1 to 4,
2015,All,DE,1,1 to 4,
2015,All,IA,4,1 to 4,
2015,All,ID,3,1 to 4,
2015,All,KS,4,1 to 4,
2015,All,KY,1,1 to 4,
2015,All,LA,4,1 to 4,
2015,All,ME,4,1 to 4,
2015,All,MO,3,1 to 4,
2015,All,MS,2,1 to 4,
2015,All,MT,4,1 to 4,
2015,All,ND,1,1 to 4,
2015,All,NE,2,1 to 4,
2015,All,NH,1,1 to 4,
2015,All,NM,3,1 to 4,
2015,All,NV,1,1 to 4,
2015,All,OK,2,1 to 4,
2015,All,RI,3,1 to 4,
2015,All,SC,4,1 to 4,
2015,All,SD,2,1 to 4,
2015,All,UT,1,1 to 4,
2015,All,VI,3,1 to 4,
2015,All,VT,3,1 to 4,
2015,All,WV,1,1 to 4,
2015,All,AZ,17,5 to 49,
2015,All,CO,12,5 to 49,
2015,All,CT,5,5 to 49,
2015,All,DC,11,5 to 49,
2015,All,GA,8,5 to 49,
2015,All,IL,29,5 to 49,
2015,All,MA,8,5 to 49,
2015,All,MD,13,5 to 49,
2015,All,MI,16,5 to 49,
2015,All,MN,21,5 to 49,
2015,All,NC,9,5 to 49,
2015,All,OH,11,5 to 49,
2015,All,OR,5,5 to 49,
2015,All,PA,23,5 to 49,
2015,All,TN,13,5 to 49,
2015,All,TX,32,5 to 49,
2015,All,VA,25,5 to 49,
2015,All,WA,18,5 to 49,
2015,All,WI,7,5 to 49,
2015,All,CA,140,50 to 249,
2015,All,FL,81,50 to 249,
2015,All,HI,217,50 to 249,
2015,All,NJ,61,50 to 249,
2015,All,NY,110,50 to 249,
2015,All,PR,59,50 to 249,
