Year,Travel status,Week,Reported cases
2023,All,01,64
2023,All,02,49
2023,All,03,36
2023,All,04,31
2023,All,05,30
2023,All,06,32
2023,All,07,21
2023,All,08,33
2023,All,09,26
2023,All,10,23
2023,All,11,23
2023,All,12,19
2023,All,13,18
2023,All,14,21
2023,All,15,16
2023,All,16,11
2023,All,17,17
2023,All,18,16
2023,All,19,15
2023,All,20,20
2023,All,21,22
2023,All,22,23
2023,All,23,29
2023,All,24,36
2023,All,25,40
2023,All,26,55
2023,All,27,39
2023,All,28,75
2023,All,29,77
2023,All,30,91
2023,All,31,104
2023,All,32,100
2023,All,33,85
2023,All,34,103
2023,All,35,108
2023,All,36,130
2023,All,37,110
2023,All,38,94
2023,All,39,109
2023,All,40,116
2023,All,41,122
2023,All,42,115
2023,All,43,115
2023,All,44,91
2023,All,45,103
2023,All,46,115
2023,All,47,135
2023,All,48,113
2023,All,49,104
2023,All,50,82
2023,All,51,99
2023,All,52,91
2023,All,53,0
