Year,Travel status,Jurisdiction,Count,Legend,Notes
2016,All,AR,3,1 to 4,
2016,All,AS,2,1 to 4,
2016,All,DE,2,1 to 4,
2016,All,GU,1,1 to 4,
2016,All,ID,4,1 to 4,
2016,All,KS,4,1 to 4,
2016,All,KY,1,1 to 4,
2016,All,ME,2,1 to 4,
2016,All,MH,1,1 to 4,
2016,All,MT,2,1 to 4,
2016,All,ND,2,1 to 4,
2016,All,NE,3,1 to 4,
2016,All,NH,3,1 to 4,
2016,All,SD,2,1 to 4,
2016,All,VT,3,1 to 4,
2016,All,AK,6,5 to 49,
2016,All,AL,5,5 to 49,
2016,All,AZ,13,5 to 49,
2016,All,CO,22,5 to 49,
2016,All,CT,6,5 to 49,
2016,All,DC,9,5 to 49,
2016,All,FM,8,5 to 49,
2016,All,GA,20,5 to 49,
2016,All,IA,11,5 to 49,
2016,All,IL,35,5 to 49,
2016,All,IN,9,5 to 49,
2016,All,LA,6,5 to 49,
2016,All,MA,8,5 to 49,
2016,All,MD,13,5 to 49,
2016,All,MI,16,5 to 49,
2016,All,MN,29,5 to 49,
2016,All,MO,13,5 to 49,
2016,All,NC,13,5 to 49,
2016,All,NM,5,5 to 49,
2016,All,NV,6,5 to 49,
2016,All,OH,6,5 to 49,
2016,All,OK,5,5 to 49,
2016,All,OR,9,5 to 49,
2016,All,PA,21,5 to 49,
2016,All,RI,5,5 to 49,
2016,All,SC,11,5 to 49,
2016,All,TN,12,5 to 49,
2016,All,TX,45,5 to 49,
2016,All,UT,6,5 to 49,
2016,All,VA,28,5 to 49,
2016,All,VI,11,5 to 49,
2016,All,WA,25,5 to 49,
2016,All,WI,7,5 to 49,
2016,All,CA,197,50 to 249,
2016,All,FL,70,50 to 249,
2016,All,HI,58,50 to 249,
2016,All,NJ,52,50 to 249,
2016,All,NY,136,50 to 249,
2016,All,PR,216,50 to 249,
