Year,Travel status,Jurisdiction,Count,Legend,Notes
2019,All,AK,2,1 to 4,
2019,All,AL,3,1 to 4,
2019,All,AR,3,1 to 4,
2019,All,DE,4,1 to 4,
2019,All,ID,2,1 to 4,
2019,All,KS,3,1 to 4,
2019,All,KY,3,1 to 4,
2019,All,ME,1,1 to 4,
2019,All,MP,2,1 to 4,
2019,All,NM,2,1 to 4,
2019,All,OK,1,1 to 4,
2019,All,SD,1,1 to 4,
2019,All,VI,3,1 to 4,
2019,All,VT,3,1 to 4,
2019,All,WV,4,1 to 4,
2019,All,WY,1,1 to 4,
2019,All,AZ,19,5 to 49,
2019,All,CO,34,5 to 49,
2019,All,CT,16,5 to 49,
2019,All,DC,6,5 to 49,
2019,All,GA,5,5 to 49,
2019,All,GU,22,5 to 49,
2019,All,HI,15,5 to 49,
2019,All,IA,9,5 to 49,
2019,All,IL,47,5 to 49,
2019,All,IN,14,5 to 49,
2019,All,LA,7,5 to 49,
2019,All,MA,38,5 to 49,
2019,All,MD,25,5 to 49,
2019,All,MI,20,5 to 49,
2019,All,MN,20,5 to 49,
2019,All,MO,7,5 to 49,
2019,All,MT,5,5 to 49,
2019,All,NC,27,5 to 49,
2019,All,NE,7,5 to 49,
2019,All,NV,7,5 to 49,
2019,All,OH,12,5 to 49,
2019,All,OR,13,5 to 49,
2019,All,PA,32,5 to 49,
2019,All,RI,8,5 to 49,
2019,All,SC,9,5 to 49,
2019,All,TN,9,5 to 49,
2019,All,UT,10,5 to 49,
2019,All,VA,22,5 to 49,
2019,All,WA,18,5 to 49,
2019,All,WI,17,5 to 49,
2019,All,NJ,73,50 to 249,
2019,All,NY,152,50 to 249,
2019,All,PR,91,50 to 249,
2019,All,TX,74,50 to 249,
2019,All,CA,262,250+,
2019,All,FL,403,250+,
